,genera,ps_zy,zy_rl,ps_rl
0,Cutibacterium,0.9872789210988486,0.5014006217083187,0.546853160988686
1,Staphylococcus,0.7417568600518156,0.8873556161416762,0.4923808541311243
2,Corynebacterium,0.8730902686705159,0.2180671831983978,0.2939563034108119
3,Escherichia,1.0,1.0,1.0
4,Streptococcus,0.4601987156625633,0.021060682356273945,0.002313356924068519
5,Burkholderiales,0.748227977973198,0.6681582793824183,0.4652589304203745
6,Dermacoccus,0.568902426603203,0.5418885544633791,0.9665031380078397
7,Corynebacteriales,0.982275212249401,0.6681582793824183,0.70524901666863
8,Lawsonella,0.3302133594658532,0.5418885544633791,0.1431252901817547
9,Enterobacteriaceae,1.0,1.0,1.0
10,Micrococcus,0.3302133594658532,0.3103176560888994,0.9844236091436105
11,Sporosarcina,1.0,1.0,1.0
12,Propionibacteriaceae,0.568902426603203,0.618766962348283,0.9844236091436105
13,Neisseria,1.0,0.3103176560888994,0.3103176560888994
14,Lactobacillus,0.16005734623194467,1.0,0.1779444141749582
15,Anaerococcus,1.0,0.3103176560888994,0.3103176560888994
16,Atopobium,1.0,0.9844236091436105,0.9532945638318491
17,Prevotella,1.0,0.9844236091436105,0.9532945638318491
18,Prevotella.1,0.3302133594658532,0.9532945638318491,0.3103176560888994
19,Methylobacterium-Methylorubrum,1.0,0.3103176560888994,0.3103176560888994
20,Sneathia,1.0,0.9844236091436105,0.9532945638318491
21,Agathobacter,1.0,0.3103176560888994,0.3103176560888994
22,Enhydrobacter,0.3302133594658532,0.3103176560888994,0.9532945638318491
23,Lachnospiraceae,1.0,0.3103176560888994,0.3103176560888994
24,Faecalibacterium,1.0,0.3103176560888994,0.3103176560888994
25,Bacteroides,1.0,0.3103176560888994,0.3103176560888994
26,Megasphaera,0.3302133594658532,0.9844236091436105,0.3103176560888994
27,Mycobacterium,0.3302133594658532,1.0,0.3511843777056173
28,Deinococcus,0.3302133594658532,0.3103176560888994,0.9532945638318491
29,Brevibacterium,0.3302133594658532,0.9844236091436105,0.3103176560888994
30,Dialister,1.0,0.3103176560888994,0.3103176560888994
31,Blautia,1.0,0.3103176560888994,0.3103176560888994
32,Pseudomonas,0.3302133594658532,0.9844236091436105,0.3103176560888994
33,Lactobacillus.1,0.3302133594658532,0.3511843777056173,1.0
34,Oscillospirales,0.3302133594658532,0.3511843777056173,1.0
35,Anaerostipes,1.0,0.3103176560888994,0.3103176560888994
36,Enterobacterales,1.0,0.3103176560888994,0.3103176560888994
37,Mitochondria,1.0,0.3103176560888994,0.3103176560888994
38,Holdemanella,1.0,0.3103176560888994,0.3103176560888994
39,Ruminococcus,1.0,0.3103176560888994,0.3103176560888994
